股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
000001,CN,平安银行,-,银行,不良率、拨备覆盖、资本充足率,-,-,11.1%,1.2%,-,90.7%,-,-,未分红/不适用,-6.1%,10,20,100,High,未知,排除,30,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；近5年营收增长偏弱
000002,CN,万  科Ａ,-,通用,ROE、现金流、资产负债率,-,-,5.3%,25.7%,-,76.9%,-,-,未分红/不适用,-15.3%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑
000006,CN,深振业Ａ,-,通用,ROE、现金流、资产负债率,-,-,-3.1%,29.8%,-,62.5%,-,-,未分红/不适用,-4.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000007,CN,全新好,-,通用,ROE、现金流、资产负债率,-,-,-0.3%,43.2%,-,48.0%,-,-,未分红/不适用,22.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000008,CN,神州高铁,-,通用,ROE、现金流、资产负债率,-,-,-9.9%,16.7%,-,73.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000009,CN,中国宝安,-,通用,ROE、现金流、资产负债率,-,-,6.8%,4.6%,-,59.8%,-,-,未分红/不适用,7.0%,10,10,100,High,未知,通过,100,-
000011,CN,深物业A,-,通用,ROE、现金流、资产负债率,-,-,22.5%,31.4%,-,79.0%,-,-,未分红/不适用,-16.5%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑
000012,CN,南  玻Ａ,-,通用,ROE、现金流、资产负债率,-,-,17.6%,26.5%,-,56.7%,-,-,未分红/不适用,0.1%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000014,CN,沙河股份,-,通用,ROE、现金流、资产负债率,-,-,22.9%,32.5%,-,25.0%,-,-,未分红/不适用,-16.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
000017,CN,深中华A,-,通用,ROE、现金流、资产负债率,-,-,-0.4%,25.9%,-,17.6%,-,-,未分红/不适用,45.3%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000019,CN,深粮控股,-,通用,ROE、现金流、资产负债率,-,-,8.1%,1.5%,-,32.3%,-,-,未分红/不适用,-14.2%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000020,CN,深华发Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.3%,8.8%,-,39.0%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000021,CN,深科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,7.8%,2.3%,-,39.0%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,科技公司营收增长转负
000025,CN,特  力Ａ,-,通用,ROE、现金流、资产负债率,-,-,8.1%,4.3%,-,24.7%,-,-,未分红/不适用,30.2%,10,10,100,High,未知,通过,100,-
000026,CN,飞亚达,-,通用,ROE、现金流、资产负债率,-,-,7.8%,3.2%,-,10.6%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000027,CN,深圳能源,-,通用,ROE、现金流、资产负债率,-,-,6.0%,3.3%,-,62.0%,-,-,未分红/不适用,7.7%,10,10,100,High,未知,通过,100,-
000028,CN,国药一致,-,通用,ROE、现金流、资产负债率,-,-,9.8%,3.1%,-,56.0%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,通过,100,-
000029,CN,深深房Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.0%,7.8%,-,10.6%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000030,CN,富奥股份,-,通用,ROE、现金流、资产负债率,-,-,11.4%,3.1%,-,49.3%,-,-,未分红/不适用,7.9%,10,10,100,High,未知,通过,100,-
000031,CN,大悦城,-,通用,ROE、现金流、资产负债率,-,-,3.6%,24.6%,-,77.3%,-,-,未分红/不适用,-7.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收增长偏弱
000032,CN,深桑达Ａ,-,通用,ROE、现金流、资产负债率,-,-,4.5%,4.2%,-,81.7%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,30,10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000034,CN,神州数码,-,通用,ROE、现金流、资产负债率,-,-,13.2%,6.0%,-,79.4%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,警惕,85,资产负债率偏高
000035,CN,中国天楹,-,通用,ROE、现金流、资产负债率,-,-,5.6%,3.1%,-,65.4%,-,-,未分红/不适用,-28.8%,10,10,100,High,未知,排除,60,近5年营收明显下滑
000036,CN,华联控股,-,通用,ROE、现金流、资产负债率,-,-,22.9%,24.8%,-,24.2%,-,-,未分红/不适用,-24.2%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
000037,CN,深南电A,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,33.3%,-,23.2%,-,-,未分红/不适用,-14.7%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000039,CN,中集集团,-,通用,ROE、现金流、资产负债率,-,-,19.5%,29.3%,-,59.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000042,CN,中洲控股,-,通用,ROE、现金流、资产负债率,-,-,3.3%,39.1%,-,94.5%,-,-,未分红/不适用,-26.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收明显下滑
000045,CN,深纺织Ａ,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,40.7%,-,20.8%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000048,CN,京基智农,-,通用,ROE、现金流、资产负债率,-,-,34.2%,32.4%,-,59.0%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000049,CN,德赛电池,-,通用,ROE、现金流、资产负债率,-,-,19.9%,8.6%,-,60.6%,-,-,未分红/不适用,3.6%,10,10,100,High,未知,通过,100,-
000050,CN,深天马Ａ,-,通用,ROE、现金流、资产负债率,-,-,10.0%,22.1%,-,61.6%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000055,CN,方大集团,-,通用,ROE、现金流、资产负债率,-,-,15.5%,20.8%,-,55.4%,-,-,未分红/不适用,-1.3%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000058,CN,深 赛 格,-,通用,ROE、现金流、资产负债率,-,-,12.4%,24.4%,-,50.8%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000059,CN,华锦股份,-,通用,ROE、现金流、资产负债率,-,-,7.4%,19.5%,-,58.3%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000060,CN,中金岭南,-,通用,ROE、现金流、资产负债率,-,-,7.8%,2.4%,-,58.6%,-,-,未分红/不适用,8.0%,10,10,100,High,未知,通过,100,-
000061,CN,农 产 品,-,通用,ROE、现金流、资产负债率,-,-,16.1%,26.7%,-,53.8%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000062,CN,深圳华强,-,通用,ROE、现金流、资产负债率,-,-,10.7%,4.1%,-,58.4%,-,-,未分红/不适用,2.2%,10,10,100,High,未知,通过,100,-
000063,CN,中兴通讯,-,通用,ROE、现金流、资产负债率,-,-,7.5%,14.1%,-,65.3%,-,-,未分红/不适用,4.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000065,CN,北方国际,-,通用,ROE、现金流、资产负债率,-,-,12.6%,3.1%,-,55.0%,-,-,未分红/不适用,1.0%,10,10,100,High,未知,通过,100,-
000066,CN,中国长城,-,通用,ROE、现金流、资产负债率,-,-,8.2%,35.4%,-,61.9%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000068,CN,华控赛格,-,通用,ROE、现金流、资产负债率,-,-,-6.2%,77.1%,-,73.6%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000069,CN,华侨城Ａ,-,通用,ROE、现金流、资产负债率,-,-,2.0%,19.4%,-,80.6%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑
000070,CN,特发信息,-,通用,ROE、现金流、资产负债率,-,-,5.6%,32.7%,-,78.6%,-,-,未分红/不适用,-1.0%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高
000088,CN,盐 田 港,-,通用,ROE、现金流、资产负债率,-,-,6.6%,1.7%,-,17.8%,-,-,未分红/不适用,6.0%,10,10,100,High,未知,通过,100,-
000089,CN,深圳机场,-,通用,ROE、现金流、资产负债率,-,-,1.9%,13.4%,-,52.9%,-,-,未分红/不适用,11.6%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000090,CN,天健集团,-,通用,ROE、现金流、资产负债率,-,-,10.9%,5.4%,-,74.3%,-,-,未分红/不适用,-0.8%,10,10,100,High,未知,警惕,85,资产负债率偏高
000096,CN,广聚能源,-,通用,ROE、现金流、资产负债率,-,-,4.9%,3.3%,-,25.4%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,排除,60,长期ROE低于5%
000099,CN,中信海直,-,通用,ROE、现金流、资产负债率,-,-,5.1%,1.3%,-,27.7%,-,-,未分红/不适用,7.4%,10,10,100,High,未知,通过,100,-
000100,CN,TCL科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,14.7%,14.7%,-,64.2%,-,-,未分红/不适用,3.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000151,CN,中成股份,-,通用,ROE、现金流、资产负债率,-,-,8.0%,52.4%,-,73.8%,-,-,未分红/不适用,-15.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收增长偏弱
000153,CN,丰原药业,-,通用,ROE、现金流、资产负债率,-,-,6.6%,1.7%,-,58.0%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,通过,100,-
000156,CN,华数传媒,-,通用,ROE、现金流、资产负债率,-,-,5.6%,1.4%,-,47.5%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,通过,100,-
000157,CN,中联重科,-,通用,ROE、现金流、资产负债率,-,-,7.1%,5.2%,-,55.0%,-,-,未分红/不适用,-6.1%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000158,CN,常山北明,-,通用,ROE、现金流、资产负债率,-,-,6.8%,20.0%,-,63.6%,-,-,未分红/不适用,-8.8%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
000159,CN,国际实业,-,通用,ROE、现金流、资产负债率,-,-,2.8%,3.9%,-,43.7%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
000166,CN,申万宏源,-,通用,ROE、现金流、资产负债率,-,-,7.4%,2.5%,-,76.6%,-,-,未分红/不适用,-8.3%,10,20,100,High,未知,警惕,70,资产负债率偏高；近5年营收增长偏弱
000301,CN,东方盛虹,-,通用,ROE、现金流、资产负债率,-,-,10.4%,13.0%,-,81.4%,-,-,未分红/不适用,24.3%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；资产负债率偏高
000333,CN,美的集团,-,通用,ROE、现金流、资产负债率,-,-,23.9%,2.4%,-,61.2%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,通过,100,-
000338,CN,潍柴动力,-,通用,ROE、现金流、资产负债率,-,-,15.2%,5.7%,-,64.3%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,通过,100,-
000400,CN,许继电气,-,通用,ROE、现金流、资产负债率,-,-,8.4%,2.8%,-,49.0%,-,-,未分红/不适用,5.7%,10,10,100,High,未知,通过,100,-
000401,CN,金隅冀东,-,通用,ROE、现金流、资产负债率,-,-,19.0%,26.4%,-,48.4%,-,-,未分红/不适用,-9.4%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
000402,CN,金 融 街,-,通用,ROE、现金流、资产负债率,-,-,-1.0%,16.5%,-,81.5%,-,-,未分红/不适用,-24.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑
000403,CN,派林生物,-,通用,ROE、现金流、资产负债率,-,-,10.8%,6.3%,-,14.6%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000404,CN,长虹华意,-,通用,ROE、现金流、资产负债率,-,-,16.1%,28.0%,-,61.3%,-,-,未分红/不适用,-2.8%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000407,CN,胜利股份,-,通用,ROE、现金流、资产负债率,-,-,3.0%,6.1%,-,45.8%,-,-,未分红/不适用,-2.2%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
000408,CN,藏格矿业,-,通用,ROE、现金流、资产负债率,-,-,19.7%,13.4%,-,8.3%,-,-,未分红/不适用,-0.3%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000409,CN,云鼎科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-6.4%,21.9%,-,35.7%,-,-,未分红/不适用,31.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000410,CN,沈阳机床,-,通用,ROE、现金流、资产负债率,-,-,-43.6%,103.9%,-,51.5%,-,-,未分红/不适用,21.8%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000411,CN,英特集团,-,通用,ROE、现金流、资产负债率,-,-,11.2%,1.4%,-,65.5%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,通过,100,-
000415,CN,渤海租赁,-,通用,ROE、现金流、资产负债率,-,-,-0.2%,9.8%,-,81.3%,-,-,未分红/不适用,18.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000417,CN,合百集团,-,通用,ROE、现金流、资产负债率,-,-,4.9%,1.5%,-,52.8%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,排除,60,长期ROE低于5%
000419,CN,通程控股,-,通用,ROE、现金流、资产负债率,-,-,5.2%,1.0%,-,31.7%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,通过,100,-
000420,CN,吉林化纤,-,通用,ROE、现金流、资产负债率,-,-,18.6%,31.3%,-,64.0%,-,-,未分红/不适用,11.0%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000421,CN,南京公用,-,通用,ROE、现金流、资产负债率,-,-,3.8%,3.5%,-,62.0%,-,-,未分红/不适用,18.1%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
000422,CN,湖北宜化,-,通用,ROE、现金流、资产负债率,-,-,12.6%,71.3%,-,70.5%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；资产负债率偏高
000423,CN,东阿阿胶,-,通用,ROE、现金流、资产负债率,-,-,16.1%,13.1%,-,22.6%,-,-,未分红/不适用,14.9%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000425,CN,徐工机械,-,通用,ROE、现金流、资产负债率,-,-,9.4%,4.2%,-,64.0%,-,-,未分红/不适用,-3.6%,10,10,100,High,未知,通过,100,-
000426,CN,兴业银锡,-,通用,ROE、现金流、资产负债率,-,-,7.4%,9.0%,-,40.8%,-,-,未分红/不适用,29.0%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000428,CN,华天酒店,-,通用,ROE、现金流、资产负债率,-,-,-8.7%,9.3%,-,82.3%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000429,CN,粤高速Ａ,-,通用,ROE、现金流、资产负债率,-,-,15.7%,3.3%,-,47.0%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,通过,100,-
000498,CN,山东路桥,-,通用,ROE、现金流、资产负债率,-,-,14.9%,4.0%,-,76.5%,-,-,未分红/不适用,4.5%,10,10,100,High,未知,警惕,85,资产负债率偏高
000501,CN,武商集团,-,通用,ROE、现金流、资产负债率,-,-,8.6%,6.9%,-,64.1%,-,-,未分红/不适用,-3.9%,10,10,100,High,未知,通过,100,-
000503,CN,国新健康,-,通用,ROE、现金流、资产负债率,-,-,-18.0%,22.5%,-,44.0%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000505,CN,京粮控股,-,通用,ROE、现金流、资产负债率,-,-,12.2%,25.3%,-,47.5%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
000506,CN,招金黄金,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,38.5%,-,49.6%,-,-,未分红/不适用,-12.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000507,CN,珠海港,-,通用,ROE、现金流、资产负债率,-,-,5.0%,1.0%,-,54.5%,-,-,未分红/不适用,-9.5%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000509,CN,华塑控股,-,通用,ROE、现金流、资产负债率,-,-,-45.5%,106.8%,-,78.1%,-,-,未分红/不适用,26.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000510,CN,新金路,-,通用,ROE、现金流、资产负债率,-,-,12.2%,31.4%,-,52.2%,-,-,未分红/不适用,-13.6%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
000513,CN,丽珠集团,-,通用,ROE、现金流、资产负债率,-,-,17.5%,11.9%,-,35.2%,-,-,未分红/不适用,-0.1%,10,10,100,High,未知,通过,100,-
000514,CN,渝 开 发,-,通用,ROE、现金流、资产负债率,-,-,13.4%,25.6%,-,45.1%,-,-,未分红/不适用,-11.5%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
000516,CN,国际医学,-,通用,ROE、现金流、资产负债率,-,-,7.7%,34.9%,-,69.0%,-,-,未分红/不适用,8.7%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000517,CN,荣安地产,-,地产,净负债率、现金短债比、资产负债率,-,-,6.5%,17.8%,-,56.2%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,15,地产需补充净负债率/现金短债比专项数据；10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
000519,CN,中兵红箭,-,通用,ROE、现金流、资产负债率,-,-,7.5%,12.2%,-,45.5%,-,-,未分红/不适用,5.4%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000520,CN,凤凰航运,-,周期,利润波动、ROE波动、资本开支周期,-,-,4.9%,12.0%,-,39.5%,-,-,未分红/不适用,-5.2%,10,10,100,High,未知,排除,0,周期行业利润弹性过大；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000521,CN,长虹美菱,-,通用,ROE、现金流、资产负债率,-,-,18.4%,28.0%,-,70.9%,-,-,未分红/不适用,14.0%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；资产负债率偏高
000523,CN,红棉股份,-,通用,ROE、现金流、资产负债率,-,-,4.5%,9.6%,-,38.9%,-,-,未分红/不适用,-4.9%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
000524,CN,岭南控股,-,通用,ROE、现金流、资产负债率,-,-,2.6%,7.7%,-,40.3%,-,-,未分红/不适用,31.1%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
000525,CN,红太阳,-,通用,ROE、现金流、资产负债率,-,-,-13.0%,61.2%,-,59.8%,-,-,未分红/不适用,-9.9%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000526,CN,学大教育,-,通用,ROE、现金流、资产负债率,-,-,-1.1%,53.9%,-,76.8%,-,-,未分红/不适用,6.3%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000528,CN,柳    工,-,通用,ROE、现金流、资产负债率,-,-,12.3%,15.6%,-,60.3%,-,-,未分红/不适用,3.7%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000529,CN,广弘控股,-,通用,ROE、现金流、资产负债率,-,-,12.8%,8.7%,-,51.7%,-,-,未分红/不适用,-13.2%,10,10,100,High,未知,警惕,70,10年净利润波动较大；近5年营收增长偏弱
000530,CN,冰山冷热,-,通用,ROE、现金流、资产负债率,-,-,14.2%,25.8%,-,57.7%,-,-,未分红/不适用,20.5%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000531,CN,穗恒运Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.3%,5.9%,-,58.0%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000532,CN,华金资本,-,通用,ROE、现金流、资产负债率,-,-,10.2%,4.5%,-,28.1%,-,-,未分红/不适用,-5.9%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
000533,CN,顺钠股份,-,通用,ROE、现金流、资产负债率,-,-,2.5%,34.6%,-,60.9%,-,-,未分红/不适用,11.3%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
000534,CN,万泽股份,-,通用,ROE、现金流、资产负债率,-,-,9.3%,3.3%,-,61.5%,-,-,未分红/不适用,18.4%,10,10,100,High,未知,通过,100,-
000536,CN,华映科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-34.4%,43.4%,-,80.2%,-,-,未分红/不适用,-17.8%,10,10,100,High,未知,排除,0,科技公司营收增长转负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑
000537,CN,绿发电力,-,通用,ROE、现金流、资产负债率,-,-,11.0%,9.2%,-,73.8%,-,-,未分红/不适用,-29.3%,10,10,100,High,未知,排除,45,资产负债率偏高；近5年营收明显下滑
000538,CN,云南白药,-,通用,ROE、现金流、资产负债率,-,-,12.3%,4.3%,-,26.0%,-,-,未分红/不适用,3.2%,10,10,100,High,未知,通过,100,-
000539,CN,粤电力Ａ,-,通用,ROE、现金流、资产负债率,-,-,0.9%,6.9%,-,77.7%,-,-,未分红/不适用,3.8%,10,10,100,High,未知,排除,30,10年净利润波动较大；长期ROE低于5%；资产负债率偏高
000541,CN,佛山照明,-,通用,ROE、现金流、资产负债率,-,-,8.1%,5.8%,-,39.2%,-,-,未分红/不适用,0.2%,10,10,100,High,未知,通过,100,-
000543,CN,皖能电力,-,通用,ROE、现金流、资产负债率,-,-,6.0%,6.7%,-,62.7%,-,-,未分红/不适用,6.7%,10,10,100,High,未知,警惕,85,10年净利润波动较大
000544,CN,中原环保,-,通用,ROE、现金流、资产负债率,-,-,8.5%,2.3%,-,73.4%,-,-,未分红/不适用,-2.5%,10,10,100,High,未知,警惕,85,资产负债率偏高
000545,CN,金浦钛业,-,通用,ROE、现金流、资产负债率,-,-,-7.7%,19.1%,-,59.5%,-,-,未分红/不适用,-12.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
000546,CN,金圆股份,-,通用,ROE、现金流、资产负债率,-,-,13.2%,29.8%,-,26.7%,-,-,未分红/不适用,1.6%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000548,CN,湖南投资,-,通用,ROE、现金流、资产负债率,-,-,4.1%,2.2%,-,15.5%,-,-,未分红/不适用,4.9%,10,10,100,High,未知,排除,60,长期ROE低于5%
000550,CN,江铃汽车,-,通用,ROE、现金流、资产负债率,-,-,16.2%,23.9%,-,66.2%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000551,CN,创元科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,6.7%,2.3%,-,37.3%,-,-,未分红/不适用,3.4%,10,10,100,High,未知,通过,100,-
000552,CN,甘肃能化,-,通用,ROE、现金流、资产负债率,-,-,8.5%,7.9%,-,54.6%,-,-,未分红/不适用,-6.0%,10,10,100,High,未知,警惕,70,10年净利润波动较大；近5年营收增长偏弱
000553,CN,安道麦A,-,通用,ROE、现金流、资产负债率,-,-,7.6%,24.5%,-,63.7%,-,-,未分红/不适用,-1.7%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000554,CN,泰山石油,-,周期,利润波动、ROE波动、资本开支周期,-,-,38.0%,34.7%,-,31.0%,-,-,未分红/不适用,3.1%,10,10,100,High,未知,警惕,40,周期行业ROE波动显著；周期行业利润弹性过大；10年ROE波动较大；10年净利润波动较大
000555,CN,神州信息,-,通用,ROE、现金流、资产负债率,-,-,22.0%,37.9%,-,53.9%,-,-,未分红/不适用,3.8%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
000557,CN,西部创业,-,通用,ROE、现金流、资产负债率,-,-,14.6%,27.3%,-,9.9%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,警惕,85,10年ROE波动较大
000558,CN,天府文旅,-,通用,ROE、现金流、资产负债率,-,-,-1.4%,3.9%,-,54.1%,-,-,未分红/不适用,39.7%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
000559,CN,万向钱潮,-,通用,ROE、现金流、资产负债率,-,-,12.1%,4.2%,-,61.2%,-,-,未分红/不适用,-1.7%,10,10,100,High,未知,通过,100,-
000560,CN,我爱我家,-,通用,ROE、现金流、资产负债率,-,-,8.9%,24.7%,-,62.2%,-,-,未分红/不适用,-3.3%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
000561,CN,烽火电子,-,科技,营收增长、自由现金流、研发投入效率,-,-,3.5%,6.1%,-,54.6%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
