股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
GLNG,US,Golar LNG Limited - Common Shares,Oil & Gas Midstream,周期,利润波动、ROE波动、资本开支周期,95.42,3.15,8.8%,15.3%,-225458250.00,61.2%,-,4.28,未分红/不适用,13.7%,4,6,80,Medium,低,警惕,25,周期行业ROE波动显著；周期行业利润弹性过大；10年ROE波动较大；10年净利润波动较大；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GLOO,US,"Gloo Holdings, Inc. - Common Stock",Software - Application,科技,营收增长、自由现金流、研发投入效率,-,3.59,-116.2%,-,-94510000.00,40.2%,40.7%,-10.23,未分红/不适用,307.7%,1,10,20,Low,低,数据不足,0,科技公司自由现金流为负；长期ROE低于5%；商誉占比过高；利息覆盖倍数过低；数据年数不足，无法进行可靠筛选
GLPI,US,"Gaming and Leisure Properties, Inc. - Common Stock",REIT - Specialty,地产,净负债率、现金短债比、资产负债率,14.77,2.86,18.0%,0.3%,929023250.00,61.2%,-,3.28,未分红/不适用,6.7%,4,6,80,Medium,低,需专项分析,85,地产需补充净负债率/现金短债比专项数据；数据质量为Medium，筛选结果置信度中等
GLRE,US,"Greenlight Reinsurance, Ltd. - Class A Ordinary Shares",Insurance - Reinsurance,保险,偿付能力、久期缺口、投资收益质量,7.36,0.83,9.2%,4.2%,-,67.4%,-,17.36,未分红/不适用,12.7%,4,6,80,Medium,中,需专项分析,70,保险需补充偿付能力/久期缺口专项数据；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GLSI,US,"Greenwich LifeSciences, Inc. - Common stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,167.09,-208.0%,280.8%,-,38.1%,-,-,未分红/不适用,-,4,0,80,Medium,低,排除,5,10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等
GLUE,US,"Monte Rosa Therapeutics, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,2.93,-41.2%,24.9%,-39427500.00,48.1%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GLXG,US,Galaxy Payroll Group Limited - Class A Ordinary Shares,Staffing & Employment Services,通用,ROE、现金流、资产负债率,-,0.56,114.4%,33.1%,9853981.33,75.6%,-,211.22,未分红/不适用,-4.7%,4,0,80,Medium,中,警惕,55,10年ROE波动较大；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GLXY,US,Galaxy Digital Inc. - Class A common stock,Capital Markets,金融,杠杆、资产质量、资本约束,-,3.15,-35.5%,94.4%,-607655333.33,73.3%,0.6%,-3.57,未分红/不适用,-,4,6,80,Medium,高,排除,0,金融行业需专项资产质量与资本约束分析；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等
GMEX,US,GMEX ROBOTICS CORPORATION - Class A Ordinary Shares,Consumer Electronics,科技,营收增长、自由现金流、研发投入效率,-,0.23,-33.8%,47.6%,-183522.00,19.4%,10.2%,-2.06,未分红/不适用,-13.9%,4,6,80,Medium,低,排除,0,科技公司营收增长转负；科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；利息覆盖倍数过低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等
GMHS,US,Gamehaus Holdings Inc. - Class A Ordinary Shares,Electronic Gaming & Multimedia,科技,营收增长、自由现金流、研发投入效率,10.88,1.43,15.8%,7.9%,-859409.33,-,-,-,未分红/不适用,1.5%,3,6,60,Medium,未知,警惕,85,科技公司自由现金流为负；数据质量为Medium，筛选结果置信度中等
GMM,US,Global Mofy AI Limited  - Class A Ordinary Shares,Information Technology Services,科技,营收增长、自由现金流、研发投入效率,-,0.64,5.0%,29.4%,-8024108.50,20.6%,-,-94.46,未分红/不适用,48.2%,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等
